title,isbn,pageCount,publishedDate/$date,status
Unlocking Android,1933988673,416,2009-04-01T00:00:00.000-0700,PUBLISH
"Android in Action, Second Edition",1935182722,592,2011-01-14T00:00:00.000-0800,PUBLISH
Specification by Example,1617290084,0,2011-06-03T00:00:00.000-0700,PUBLISH
Flex 3 in Action,1933988746,576,2009-02-02T00:00:00.000-0800,PUBLISH
Flex 4 in Action,1935182420,600,2010-11-15T00:00:00.000-0800,PUBLISH
Collective Intelligence in Action,1933988312,425,2008-10-01T00:00:00.000-0700,PUBLISH
Zend Framework in Action,1933988320,432,2008-12-01T00:00:00.000-0800,PUBLISH
Flex on Java,1933988797,265,2010-10-15T00:00:00.000-0700,PUBLISH
Griffon in Action,1935182234,375,2012-06-04T00:00:00.000-0700,PUBLISH
OSGi in Depth,193518217X,325,2011-12-12T00:00:00.000-0800,PUBLISH
Flexible Rails,1933988509,592,2008-01-01T00:00:00.000-0800,PUBLISH
Hello! Flex 4,1933988762,258,2009-11-01T00:00:00.000-0700,PUBLISH
Coffeehouse,1884777384,316,1997-07-01T00:00:00.000-0700,PUBLISH
Team Foundation Server 2008 in Action,1933988592,344,2008-12-01T00:00:00.000-0800,PUBLISH
Brownfield Application Development in .NET,1933988711,550,2010-04-16T00:00:00.000-0700,PUBLISH
MongoDB in Action,1935182870,0,2011-12-12T00:00:00.000-0800,PUBLISH
Distributed Application Development with PowerBuilder 6.0,1884777686,504,1998-06-01T00:00:00.000-0700,PUBLISH
Jaguar Development with PowerBuilder 7,1884777864,550,1999-08-01T00:00:00.000-0700,PUBLISH
Taming Jaguar,1884777686,362,2000-07-01T00:00:00.000-0700,PUBLISH
3D User Interfaces with Java 3D,1884777902,520,2000-08-01T00:00:00.000-0700,PUBLISH
Hibernate in Action,193239415X,400,2004-08-01T00:00:00.000-0700,PUBLISH
Hibernate in Action (Chinese Edition),,400,1999-06-01T00:00:00.000-0700,PUBLISH
Java Persistence with Hibernate,1932394885,880,2006-11-01T00:00:00.000-0800,PUBLISH
JSTL in Action,1930110529,480,2002-07-01T00:00:00.000-0700,PUBLISH
iBATIS in Action,1932394826,384,2007-01-01T00:00:00.000-0800,PUBLISH
Designing Hard Software,133046192,350,1997-02-01T00:00:00.000-0800,PUBLISH
Hibernate Search in Action,1933988649,488,2008-12-21T00:00:00.000-0800,PUBLISH
jQuery in Action,1933988355,376,2008-01-01T00:00:00.000-0800,PUBLISH
"jQuery in Action, Second Edition",1935182323,488,2010-06-01T00:00:00.000-0700,PUBLISH
Building Secure and Reliable Network Applications,1884777295,591,1996-01-01T00:00:00.000-0800,PUBLISH
Ruby for Rails,1932394699,532,2006-05-01T00:00:00.000-0700,PUBLISH
The Well-Grounded Rubyist,1933988657,520,2009-04-01T00:00:00.000-0700,PUBLISH
Website Owner's Manual,1933988452,296,2009-10-01T00:00:00.000-0700,PUBLISH
ASP.NET 4.0 in Practice,1935182463,504,2011-05-15T00:00:00.000-0700,PUBLISH
Hello! Python,1935182080,350,2012-02-13T00:00:00.000-0800,PUBLISH
PFC Programmer's Reference Manual,1884777554,368,1998-06-01T00:00:00.000-0700,PUBLISH
Graphics File Formats,133034054,484,1995-06-01T00:00:00.000-0700,PUBLISH
Visual Object Oriented Programming,131723979,280,1995-02-01T00:00:00.000-0800,PUBLISH
iOS in Practice,1617291269,325,2013-11-01T00:00:00.000-0700,PUBLISH
iPhone in Action,193398886X,472,2008-12-01T00:00:00.000-0800,PUBLISH
Silverlight 2 in Action,1933988428,400,2008-10-31T00:00:00.000-0700,PUBLISH
"The Quick Python Book, Second Edition",193518220X,360,2010-01-01T00:00:00.000-0800,PUBLISH
Internet and Intranet Applications with PowerBuilder 6,1884777600,390,2000-12-01T00:00:00.000-0800,PUBLISH
Practical Methods for Your Year 2000 Problem,188477752X,236,1998-01-01T00:00:00.000-0800,PUBLISH
Mobile Agents,1884777368,320,1997-03-01T00:00:00.000-0800,PUBLISH
Spring Dynamic Modules in Action,1935182307,450,2010-09-04T00:00:00.000-0700,PUBLISH
SQL Server 2008 Administration in Action,193398872X,468,2009-08-01T00:00:00.000-0700,PUBLISH
Android in Practice,1935182927,500,2011-09-30T00:00:00.000-0700,PUBLISH
Object Oriented Perl,1884777791,512,1999-08-01T00:00:00.000-0700,PUBLISH
GWT in Practice,1933988290,376,2008-04-01T00:00:00.000-0700,PUBLISH
Ajax in Action,1932394613,680,2005-10-01T00:00:00.000-0700,PUBLISH
Ajax in Practice,1932394990,536,2007-06-01T00:00:00.000-0700,PUBLISH
Prototype and Scriptaculous in Action,1933988037,544,2007-04-01T00:00:00.000-0700,PUBLISH
POJOs in Action,1932394583,592,2006-01-01T00:00:00.000-0800,PUBLISH
Data Munging with Perl,1930110006,304,2001-01-01T00:00:00.000-0800,PUBLISH
Hello! HTML5 & CSS3,1935182897,325,2012-10-17T00:00:00.000-0700,PUBLISH
Seam in Action,1933988401,624,2008-08-01T00:00:00.000-0700,PUBLISH
Wicket in Action,1932394982,392,2008-08-01T00:00:00.000-0700,PUBLISH
Open Source SOA,1933988541,448,2009-05-01T00:00:00.000-0700,PUBLISH
Struts 2 in Action,193398807X,432,2008-05-01T00:00:00.000-0700,PUBLISH
Essential Guide to Peoplesoft Development and Customization,1884777929,1101,2000-08-01T00:00:00.000-0700,PUBLISH
.NET Multithreading,1930110545,360,2002-11-01T00:00:00.000-0800,PUBLISH
SCWCD Exam Study Kit Second Edition,1932394389,560,2005-05-01T00:00:00.000-0700,PUBLISH
Spring Roo in Action,193518296X,500,2012-04-13T00:00:00.000-0700,PUBLISH
SOA Governance in Action,1617290270,0,2012-07-27T00:00:00.000-0700,PUBLISH
RSS and Atom in Action,1932394494,400,2006-03-01T00:00:00.000-0800,PUBLISH
"LDAP Programming, Management and Integration",1930110405,352,2002-11-01T00:00:00.000-0800,PUBLISH
Mule in Action,1933988967,432,2009-07-01T00:00:00.000-0700,PUBLISH
Java Foundation Classes,1884777678,1088,2001-10-01T00:00:00.000-0700,PUBLISH
Managing Components with Modeler,1932394524k-e,0,2005-03-01T00:00:00.000-0800,PUBLISH
Command-line Processing with CLI,1932394524l-e,0,2005-03-01T00:00:00.000-0800,PUBLISH
Understanding and Using Chain,1932394524m-e,0,2005-03-01T00:00:00.000-0800,PUBLISH
Working with the Logging and Discovery Components,1932394524n-e,0,2005-03-01T00:00:00.000-0800,PUBLISH
Uploading files with FileUpload,1932394524b-e,0,2005-03-01T00:00:00.000-0800,PUBLISH
Handling Protocols with the Net Component,1932394524c-e,0,2005-03-01T00:00:00.000-0800,PUBLISH
XML Parsing with Digester,1932394524d-e,0,2005-03-01T00:00:00.000-0800,PUBLISH
JXPath and Betwixt: Working with XML,1932394524e-e,0,2005-03-01T00:00:00.000-0800,PUBLISH
Validating Data with Validator,1932394524f-e,0,2005-03-01T00:00:00.000-0800,PUBLISH
Enhancing Java Core Libraries with Collections,1932394524g-e,0,2005-03-01T00:00:00.000-0800,PUBLISH
Enhancing Java Core Libraries with BeanUtils and Lang,1932394524h-e,0,2005-03-01T00:00:00.000-0800,PUBLISH
Pool and DBCP: Creating and Using Object Pools,1932394524i-e,0,2005-03-01T00:00:00.000-0800,PUBLISH
Python and Tkinter Programming,1884777813,688,2000-01-01T00:00:00.000-0800,PUBLISH
Microsoft.NET for Programmers,1930110197,386,2002-12-01T00:00:00.000-0800,PUBLISH
Grails in Action,1933988932,520,2009-05-01T00:00:00.000-0700,PUBLISH
"Up to Speed with Swing, Second Edition",1884777759,560,1999-10-01T00:00:00.000-0700,PUBLISH
OSGi in Action,1933988916,576,2011-04-06T00:00:00.000-0700,PUBLISH
GWT in Action,1933988231,632,2007-06-01T00:00:00.000-0700,PUBLISH
The Quick Python Book,1884777740,444,1999-10-01T00:00:00.000-0700,PUBLISH
SharePoint 2010 Site Owner's Manual,1933988754,300,2012-02-13T00:00:00.000-0800,PUBLISH
Java Development with Ant,1930110588,672,2002-08-01T00:00:00.000-0700,PUBLISH
Lucene in Action,1932394281,456,2004-12-01T00:00:00.000-0800,PUBLISH
"Lucene in Action, Second Edition",1933988177,532,2010-07-09T00:00:00.000-0700,PUBLISH
PowerBuilder 6.0 Questions & Answers,1884777708,446,1998-07-01T00:00:00.000-0700,PUBLISH
The Awesome Power of PowerJ,1884777538,378,1998-05-01T00:00:00.000-0700,PUBLISH
The Awesome Power of Power++,1884777546,416,1998-06-01T00:00:00.000-0700,PUBLISH
Azure in Action,193518248X,425,2010-10-22T00:00:00.000-0700,PUBLISH
Distributed Agile in Action,1935182412,325,,MEAP
Metaprogramming in .NET,1617290262,0,2012-12-31T00:00:00.000-0800,PUBLISH
Portlets and Apache Portals,,500,2005-10-01T00:00:00.000-0700,PUBLISH
Code Generation in Action,1930110979,350,2003-07-01T00:00:00.000-0700,PUBLISH
Illustrated Guide to HTTP,138582262,400,1997-03-01T00:00:00.000-0800,PUBLISH
Agile ALM,1935182633,0,2011-08-20T00:00:00.000-0700,PUBLISH
"Java Network Programming, Second Edition",188477749X,860,1999-05-01T00:00:00.000-0700,PUBLISH
Struts in Action,1932394249,672,2002-10-01T00:00:00.000-0700,PUBLISH
Camel in Action,1935182366,375,2011-01-04T00:00:00.000-0800,PUBLISH
Taming Text,193398838X,350,2012-12-31T00:00:00.000-0800,PUBLISH
JBoss in Action,1933988029,496,2009-01-01T00:00:00.000-0800,PUBLISH
Gnuplot in Action,1933988398,400,2009-08-01T00:00:00.000-0700,PUBLISH
Extending and Embedding Perl,1930110820,384,2002-08-01T00:00:00.000-0700,PUBLISH
iOS 4 in Action,1617290017,504,2011-06-09T00:00:00.000-0700,PUBLISH
Elements of Programming with Perl,1884777805,368,1999-10-01T00:00:00.000-0700,PUBLISH
Learn Windows PowerShell in a Month of Lunches,1617290211,0,2011-04-15T00:00:00.000-0700,PUBLISH
R in Action,1935182390,375,2011-08-15T00:00:00.000-0700,PUBLISH
Android in Practice,9.78194E+12,0,,MEAP
SOA Security,1932394680,512,2007-12-01T00:00:00.000-0800,PUBLISH
